Genus	Subfamily	Family	Accession	Phage	Genome
Spiovirus	Sechaudvirinae		MT424636	Synechococcus phage S-SBP1	dsDNA
Tangaroavirus	Sechaudvirinae		GU071104	Cyanophage NATL2A-133	dsDNA
Tangaroavirus	Sechaudvirinae		HQ337022	Prochlorococcus phage P-SSP10	dsDNA
Tiamatvirus	Sechaudvirinae		AY939843	Prochlorococcus phage P-SSP7	dsDNA
Tritonvirus	Sechaudvirinae		GU071107	Cyanophage P-SSP2	dsDNA
Tritonvirus	Sechaudvirinae		HQ332137	Prochlorococcus phage P-SSP3	dsDNA
Actaeavirus			OR420743	Roseobacter phage CRP-125	dsDNA
Aegirvirus			KC310805	Synechococcus phage S-CBP42	dsDNA
Aequorvirus			OR420753	Pelagibacter phage HTVC041P	dsDNA
Ashivirus			AP013538	uncultured phage_MedDCM-OCT-S45-C4	dsDNA
Ayaqvirus			AP013544	uncultured phage_MedDCM-OCT-S45-C18	dsDNA
Banchanvirus			HQ316584	Cyanophage SS120-1	dsDNA
Boesrvirus			OR367448	Ralstonia phage BOESR1	dsDNA
Chamilpavirus			MW980070	Rhizobium phage RHEph21	dsDNA
Chosvirus			KT997847	uncultured phage_Deep1-GF2-KM23-C739	dsDNA
Cyclitvirus			MG592574	Vibrio phage 1.204.O._10N.222.46.F12	dsDNA
Dynamenevirus			OR420740	Roseobacter phage CRP-114	dsDNA
Dynamenevirus			OR420746	Roseobacter phage CRP-227	dsDNA
Foturvirus			MF278336	Alteromonas phage vB_AspP-H4/4	dsDNA
Foturvirus			MW043865	Alteromonas phage vB_AmeP_R8W	dsDNA
Foussvirus			AP013545	uncultured phage MedDCM-OCT-S46-C10	dsDNA
Fujianvirus			MT227925	Vibrio phage phiV141	dsDNA
Fussvirus			MT375523	Pelagibacter phage Eyrgjafa EXVC018P	dsDNA
Fussvirus			AP013543	uncultured phage_MedDCM-OCT-S30-C28	dsDNA
Gajwadongvirus			KJ749827	Escherichia phage ECBP5	dsDNA
Gajwadongvirus			MT104467	Pseudomonas phage MR4	dsDNA
Gyeongsanvirus			MF979559	Ralstonia phage DU_RP_I	dsDNA
Gyeongsanvirus			MN270889	Ralstonia phage P-PSG-11	dsDNA
Hapakavirus			OK570185	Pantoea phage Nufs112	dsDNA
Jalkavirus			GU943031	uncultured phage_MedDCM-OCT-S08-C159	dsDNA
Jiaweivirus			OR464703	Mycobacterium phage jiawei	dsDNA
Kafavirus			KX397280	Phage MedPE-SWcel-C56	dsDNA
Kajamvirus			HQ317388	Synechococcus phage S-RIP1	dsDNA
Kembevirus			KC310806	Synechococcus phage S-CBP2	dsDNA
Krakvirus			AP013549	uncultured phage_MedDCM-OCT-S39-C11	dsDNA
Kuwvirus			OQ376857	Paracoccus phage ParKuw1	dsDNA
Lauvirus			KJ183191	Podophage Lau218	dsDNA
Lingvirus			HQ332140	Prochlorococcus phage P-GSP1	dsDNA
Lirvirus			HQ633062	Synechococcus phage S-CBP3	dsDNA
Luzcentumvirus			OP329100	Pseudomonas phage LUZ100	dsDNA
Mallvirus			OQ376858	Paracoccus phage ParMal1	dsDNA
Morelosvirus			MN988539	Rhizobium phage RHph_I20	dsDNA
Nohivirus			AP013547	uncultured phage_MedDCM-OCT-S31-C1	dsDNA
Oceanidvirus			OR420755	Roseobacter phage CRP-113	dsDNA
Oceanidvirus			OR420737	Roseobacter phage CRP-171	dsDNA
Oinezvirus			AP013546	uncultured phage_MedDCM-OCT-S37-C6	dsDNA
