Genus	Median Genome Length (KB)	Min Genome Length (KB)	Max Genome Length (KB)	Median molGC (%)	Min molGC (%)	Max molGC (%)	Sample Size
Biquartavirus	174.0	174	174	44.0	44	44	1
Bragavirus	163.0	162	168	31.0	31	32	3
Carettavirus	121.0	121	121	37.0	37	37	1
Chrysonvirus	225.0	225	225	43.0	43	43	1
Cinqassovirus	227.0	221	233	42.5	42	43	2
Gualtarvirus	163.0	163	163	35.0	35	35	1
Jiangsuvirus	166.0	166	166	35.0	35	35	1
Krischvirus	164.5	163	166	40.5	40	41	6
Mylasvirus	248.0	248	248	41.0	41	41	1
Nanhuvirus	183.0	183	183	40.0	40	40	1
Pseudotevenvirus	178.0	176	182	44.0	43	45	9
Schizotequatrovirus	247.0	245	248	41.0	41	43	3
Slopekvirus	174.0	172	176	42.0	41	42	5
Tulanevirus	162.0	161	166	41.0	41	41	8
Harrekavirus	43.0	43	43	32.0	32	32	1
Brussowvirus	36.0	34	49	39.0	39	40	32
Moineauvirus	36.0	33	41	39.0	38	39	81
Vansinderenvirus	35.0	32	37	38.0	38	39	11
Honmavirus	34.5	33	35	54.0	53	54	8
Beograduvirus	46.5	46	48	63.0	63	63	4
Tsukubavirus	46.0	46	50	61.0	61	61	12
Bakolyvirus	45.0	44	45	62.0	62	62	6
Naesvirus	48.0	47	48	63.5	63	64	4
Felixounavirus	87.0	78	90	39.0	39	39	96
Kolesnikvirus	85.0	85	85	44.0	43	44	3
Mooglevirus	88.5	86	91	39.0	39	40	18
Arnovirus	92.0	92	92	45.0	45	45	3
Daniellevirus	86.0	86	86	38.0	38	38	2
Wroclawvirus	287.0	287	287	33.0	33	33	1
Cebadecemvirus	54.0	54	54	32.0	32	32	1
Cellubavirus	57.0	57	57	31.0	31	31	1
Nekkelsvirus	53.0	53	53	32.0	32	32	1
Altadenavirus	49.0	48	50	70.0	70	70	2
Ayohtrevirus	47.0	47	47	65.0	65	65	1
Eastwestvirus	50.0	50	50	62.0	62	62	1
Jawnskivirus	50.0	49	50	63.0	63	64	5
Jinkiesvirus	49.0	49	49	65.0	65	65	1
Lilmacvirus	50.0	49	50	69.5	69	70	4
Marthavirus	51.0	51	51	61.0	61	61	4
Sicariusvirus	49.5	49	50	64.0	64	64	2
Vibakivirus	48.0	48	48	67.0	67	67	1
Vieuvirus	48.0	38	61	39.0	39	40	13
Baileybluvirus	40.5	40	41	66.0	66	66	2
Barnstormervirus	47.5	47	48	70.0	70	70	2
Cenunavirus	49.0	49	49	71.0	71	71	1
Emotionvirus	45.0	45	45	68.0	68	68	1
Galvastonvirus	41.0	41	41	66.0	66	66	1
Gardenstatevirus	45.5	45	46	70.0	70	70	2
Hilgardvirus	43.0	43	43	67.0	67	67	1
Honkvirus	50.0	50	50	70.0	70	70	1
Liebevirus	45.0	44	46	68.5	68	69	2
Mabodamacavirus	49.0	49	49	70.0	70	70	1
Manhattanvirus	43.0	42	44	66.0	65	69	7
Percivalvirus	48.0	47	49	69.5	69	70	2
Swepdovirus	43.0	43	43	68.0	68	68	1
Yangvirus	44.0	43	44	67.0	67	69	16
Zetavirus	48.0	48	48	71.0	71	71	1
Ahduovirus	58.0	58	58	61.0	61	61	1
Broinstvirus	57.0	57	57	55.0	55	55	1
Cenphatecvirus	60.0	60	60	49.0	49	49	1
Chivirus	59.0	54	61	57.0	56	57	17
Dunedinvirus	64.0	64	64	57.0	57	57	1
Enchivirus	60.0	60	60	51.0	51	51	1
Fengtaivirus	62.0	62	62	60.0	60	60	1
Gediminasvirus	59.0	59	59	63.0	63	63	1
Gwanakrovirus	63.0	63	63	57.0	57	57	1
Jacunavirus	62.0	62	62	59.0	59	59	1
Kokobelvirus	60.0	60	60	49.0	49	49	1
Lavrentievavirus	59.0	59	59	47.0	47	47	3
Maxdohrnvirus	58.0	58	58	60.0	60	60	1
Nazgulvirus	57.0	57	57	61.0	61	61	1
Newforgelanevirus	59.0	59	59	55.0	55	55	1
Phobosvirus	57.5	57	58	63.0	63	63	2
Redjacvirus	61.0	58	61	49.0	49	49	3
Salvovirus	56.0	56	56	63.0	63	63	1
Sanovirus	56.0	56	56	62.0	62	62	1
Seodaemunguvirus	58.0	58	58	59.0	59	59	1
Sessunavirus	60.0	60	60	61.0	61	61	1
Sharonstreetvirus	61.0	61	61	62.0	61	62	4
Yonseivirus	58.0	58	59	56.0	56	56	3
Zhonglingvirus	60.0	60	60	54.0	54	54	1
Carltongylesvirus	53.0	52	56	44.0	44	44	17
Faunusvirus	54.0	54	54	44.0	44	44	1
Loessnervirus	54.0	53	57	44.0	44	44	7
Fifivirus	54.0	54	54	44.0	44	44	1
Myducvirus	53.0	53	53	39.0	39	39	1
Sabourvirus	52.0	52	52	43.0	43	43	1
Suwonvirus	54.0	53	55	45.0	45	45	2
Liaoningvirus	54.0	54	54	45.0	45	45	1
Longwangvirus	53.0	53	53	51.0	51	51	1
Pahsextavirus	53.0	52	54	53.0	52	53	3
Phayathaivirus	51.5	51	52	52.0	52	52	2
Shantouvirus	57.0	57	57	53.0	53	53	1
Yushanvirus	54.5	54	55	50.0	49	51	2
Aphroditevirus	238.0	238	242	43.0	43	44	4
Tidunavirus	237.5	236	239	44.0	43	45	2
Agricanvirus	271.5	271	274	50.0	50	50	6
Branisovskavirus	254.0	254	254	45.0	45	45	1
Chaoshanvirus	235.0	235	235	36.0	36	36	1
Chiangmaivirus	223.5	223	224	52.0	52	52	2
Derbicusvirus	224.0	224	224	51.0	51	51	1
Elvirus	211.0	211	211	49.0	49	49	1
Eowynvirus	265.0	265	265	45.0	45	45	1
Erskinevirus	244.5	243	246	51.0	51	51	2
Ferozepurvirus	236.0	235	237	38.5	38	39	2
Goslarvirus	237.0	237	237	47.0	47	47	1
Iapetusvirus	218.0	218	218	52.0	52	52	1
Ludhianavirus	260.0	260	262	48.0	47	48	3
Maaswegvirus	307.0	307	307	45.0	45	45	1
Machinavirus	242.0	242	242	51.0	51	51	1
